rank,n_ug,type,history,setting,completion_rate,annual_cost,endowment_amount
69,36168,"Public, Coed",251,City,0.8045,29076,865.9
69,3021,"Private, Coed",147,City,0.8162,62385,166.0
69,50735,"Public, Coed",141,City,0.7889,22893,9900.0
69,34871,"Public, Coed",166,Urban,0.772,24823,3100.0
69,25791,"Public, Coed",145,Rural,0.8334,25837,835.8
75,14348,"Private, Coed",172,City,0.7042,53892,1200.0
75,4612,"Public, Coed",143,Suburban,0.7654,30990,212.3
75,23373,"Public, Coed",154,Suburban,0.7793,26726,287.2
78,16981,"Public, Coed",208,Rural,0.7996,29423,445.8
78,8891,"Private, Coed",144,Suburban,0.7558,53532,1400.0
78,24476,"Public, Coed",170,City,0.7208,20861,1300.0
81,2289,"Private, Coed",130,City,0.8285,49958,369.1
81,32929,"Public, Coed",166,City,0.7939,21463,584.5
81,39090,"Public, Coed",162,Suburban,0.7717,24976,2600.0
81,23847,"Public, Coed",130,City,0.7517,22767,998.6
81,16962,"Public, Coed",52,Suburban,0.7835,34124,244.4
81,18374,"Public, Coed",274,Suburban,0.7884,24086,1300.0
87,13632,"Public, Coed",71,Suburban,0.8095,23480,93.4
87,5754,"Private, Coed",153,City,0.7701,56992,607.4
87,3406,"Private, Coed",123,City,0.6827,50116,975.6
90,39184,"Public, Coed",197,City,0.7706,24326,991.1
90,8238,"Private, Coed",136,Urban,0.7974,49868,550.1
90,27846,"Public, Coed",141,City,0.715,30025,514.2
90,5711,"Private, Coed",68,Urban,0.7928,59234,449.8
94,13251,"Private, Coed",126,Urban,0.6803,66078,650.3
94,7454,"Private, Coed",199,Urban,0.7147,53949,1100.0
94,2714,"Private, Coed",131,Urban,0.879,56555,478.2
97,12410,"Private, Coed",188,Suburban,0.6758,49013,750.9
97,17026,"Public, Coed",60,Suburban,0.6834,22000,219.7
97,1755,"Public, Coed",106,City,0.7527,24366,27.6
97,20411,"Public, Coed",171,Suburban,0.4878,18907,601.0
